Nombre,Energia,Proteina,Carbohidratos,Azucares,Lipidos,Sodio,Unidad,Grupo,Peso Neto,,
Huitlacoche cocido,20,0.8,4.1,0,0.1,0,1,1,66,,
Ibes frescos,22,1.7,3.6,0,0,0,1,1,17,,
Jícama picada,23,0.4,5.3,0,0.1,0,1,1,60,,
Jitomate,20,1,4.4,0,0.2,0,1,1,113,,
Jitomate bola,19,1,4.2,0,0.2,0,1,1,108,,
Jitomate cereza,17,0.8,3.7,0,0.2,0,1,1,95,,
Jitomate deshidratado,23,1.5,4.3,0,0.5,0,1,1,10,,
Jitomate guaje o saladet,22,1.1,4.8,0,0.2,0,1,1,124,,
Jitomate verde,21,1.1,4.7,0,0.2,0,1,1,92,,
Jitomatillo (miltomate),21,0.9,4.3,0,0.1,0,1,1,60,,
Jugo de tomate,21,0.9,5.1,0,0.1,0,1,1,122,,
Jugo de verduras,23,0.8,5.5,0,0.1,0,1,1,121,,
Jugo de zanahoria,24,0.6,5.5,0,0.1,0,1,1,59,,
Lechuga,23,1.7,4.5,0,0.4,0,1,1,135,,
Lengua de vaca,27,2,3.2,0,0.7,0,1,1,99,,
Lenteja germinada cocida,19,1.7,4.1,0,0.1,0,1,1,19,,
Malva,34,4.1,3.3,0,0.5,0,1,1,85,,
Morillas deshidratadas,27,3.2,4.4,0,0.4,0,1,1,10,,
Morillas frescas,25,3,4.1,0,0.4,0,1,1,94,,
Nabo cocido,22,0.7,5,0,0.1,0,1,1,99,,
Nopal cocido,22,2,4.9,0,0.1,0,1,1,149,,
Nopal crudo,22,1.8,4.5,0,0.1,0,1,1,134,,
Nopal crudo de cambray,27,1.7,2.9,0,0.3,0,1,1,100,,
Papaloquelite crudo,24,1.9,3.1,0,0.3,0,1,1,108,,
Papilla de verduras mixtas,19,0.5,4.1,0,0,0,1,1,43,,
Pepinillos crudos,23,1.1,3.3,0,1,0,1,1,80,,
Pepinillos dulces,20,0.1,5.3,0,0.1,0,1,1,15,,
Pepino con cáscara rebanado,20,0.8,4.7,0,0.1,0,1,1,130,,
Perejil crudo picado,22,1.8,3.8,0,0.5,0,1,1,60,,
Pimiento amarillo crudo chico,17,0.7,4,0,0.1,0,1,1,64,,
Pimiento cocido,19,0.6,4.6,0,0.1,0,1,1,68,,
Pimiento fresco,17,0.5,3.8,0,0.1,0,1,1,60,,
Pimiento rojo crudo chico,17,0.7,4,0,0.1,0,1,1,64,,
Pimiento verde crudo chico,17,0.7,4,0,0.1,0,1,1,64,,
Poro crudo,21,0.5,4.5,0,0.1,0,1,1,32,,
Puré de tomate enlatado,24,1,5.6,0,0.1,0,1,1,63,,
Quelite crudo,26,3.1,2.6,0,0.3,0,1,1,66,,
Rábano crudo rebanado,21,0.9,4.4,0,0.1,0,1,1,131,,
Romeritos crudos,26,2.6,3.5,0,0.1,0,1,1,72,,
Salsa de chile,28,1.2,5.2,0,0.2,0,1,1,115,,
Salsifí,18,0.3,4,0,0,0,1,1,23,,
Semilla de guaje verde,28,2.5,4,0,0.2,0,1,1,29,,
Setas cocidas,21,2.5,3.4,0,0.3,0,1,1,78,,
Setas crudas,23,2.7,3.7,0,0.3,0,1,1,85,,
Tomate verde,21,0.9,3.9,0,0.2,0,1,1,86,,
Tomatitos (tamiles),26,2.3,4.1,0,0.1,0,1,1,65,,
Verdolaga cocida,21,1.7,4.1,0,0.2,0,1,1,115,,
Verdolaga cruda limpia,19,1.6,4.1,0,0.1,0,1,1,120,,
Xoconostle,18,0.1,3.7,0,0.3,0,1,1,71,,
Yemitas (hongo) crudas,20,3.6,4.8,0,1.3,0,1,1,120,,
Yerbamora cruda,21,2,3.6,0,0.3,0,1,1,41,,
Zanahoria miniatura cruda,16,0.3,3.7,0,0.1,0,1,1,45,,
Zanahoria picada cruda,26,0.6,4.3,0,0.2,0,1,1,64,,
