Nombre, Tipo
CHILTOMATE,2
CEBOLLA + RABANO,2
CREMA DE AJO,2
SALPICÓN,2
SALSA DE TOMATE ASADO,2
SALSA DE TOMATE FRITO,2
CEBOLLA ASADA,2
PLATANO FRITO,2
SALSA DE MOSTAZA Y MIEL,2
SANDÍA,4
MELON,4
PAPAYA,4
PIÑA,4
NARANJA,4
PLATANO,4
MANZANA,4
JICAMA,4
MANDARINA,4
TORONJA,4
